Name,BSE Code,NSE Code,ISIN Code
Uno Minda,532539,UNOMINDA,INE405E01023
Info Edg.(India),532777,NAUKRI,INE663F01032
Coforge,532541,COFORGE,INE591G01025
Bank of Maha,532525,MAHABANK,INE457A01014
Colgate-Palmoliv,500830,COLPAL,INE259A01022
SBI Cards,543066,SBICARD,INE018E01016
Prestige Estates,533274,PRESTIGE,INE811K01011
Berger Paints,509480,BERGEPAINT,INE463A01038
Abbott India,500488,ABBOTINDIA,INE358A01014
Oberoi Realty,533273,OBEROIRLTY,INE093I01010
IDFC First Bank,539437,IDFCFIRSTB,INE092T01019
Vishal Mega Mart,544307,VMM,INE01EA01019
Rail Vikas,542649,RVNL,INE415G01027
F A C T,590024,FACT,INE188A01015
HDB FINANC SER,544429,HDBFS,INE756I01012
Tube Investments,540762,TIINDIA,INE974X01010
JSW Infrast,543994,JSWINFRA,INE880J01026
Max Financial,500271,MFSL,INE180A01020
Coromandel Inter,506395,COROMANDEL,INE169A01031
Hindustan Copper,513599,HINDCOPPER,INE531E01026
MRF,500290,MRF,INE883A01011
UPL,512070,UPL,INE628A01036
Thermax,500411,THERMAX,INE152A01029
Knowledge Realty,544481,KRT,INE1JAR25012
APL Apollo Tubes,533758,APLAPOLLO,INE702C01027
Godrej Propert.,533150,GODREJPROP,INE484J01027
Patanjali Foods,500368,PATANJALI,INE619A01035
Altius Telecom,543225,,INE0BWS23018
Motil.Oswal.Fin.,532892,MOTILALOFS,INE338I01027
Sundaram Finance,590071,SUNDARMFIN,INE660A01013
NLC India,513683,NLCINDIA,INE589A01014
Apar Inds.,532259,APARINDS,INE372A01015
KEI Industries,517569,KEI,INE878B01027
Radico Khaitan,532497,RADICO,INE944F01028
Bharat Dynamics,541143,BDL,INE171Z01026
P I Industries,523642,PIIND,INE603J01030
Tata Comm,500483,TATACOMM,INE151A01013
360 ONE,542772,360ONE,INE466L01038
Premier Energies,544238,PREMIERENE,INE0BS701011
M & M Fin. Serv.,532720,M&MFIN,INE774D01024
Anthem Bioscienc,544449,ANTHEM,INE0CZ201020
Piramal Finance.,544597,PIRAMALFIN,INE202B01038
Supreme Inds.,509930,SUPREMEIND,INE195A01028
Page Industries,532827,PAGEIND,INE761H01022
Voltas,500575,VOLTAS,INE226A01021
I R C T C,542830,IRCTC,INE335Y01020
Mphasis,526299,MPHASIS,INE356A01018
Authum Invest,539177,AIIL,INE206F01022
Ipca Labs.,524494,IPCALAB,INE571A01038
J K Cements,532644,JKCEMENT,INE823G01014
Balkrishna Inds,502355,BALKRISIND,INE787D01026
Gujarat Fluoroch,542812,FLUOROCHEM,INE09N301011
Embassy Off.REIT,542602,EMBASSY,INE041025011
Ajanta Pharma,532331,AJANTPHARM,INE031B01049
H U D C O,540530,HUDCO,INE031A01017
Glaxosmi. Pharma,500660,GLAXO,INE159A01016
Petronet LNG,532522,PETRONET,INE347G01014
Cochin Shipyard,540678,COCHINSHIP,INE704P01025
